Date,Zipcode,New Eviction Filings,COVID19 Declarations,Marshals Evictions Executed,Valid NY Zipcode?
2016-01,11379,16.0,,,yes
2016-01,11385,80.0,,,yes
2016-01,11411,8.0,,,yes
2016-01,11412,28.0,,,yes
2016-01,11413,25.0,,,yes
2016-01,11414,15.0,,,yes
2016-01,11415,47.0,,,yes
2016-01,11416,16.0,,,yes
2016-01,11417,18.0,,,yes
2016-01,11418,32.0,,,yes
2016-01,11419,27.0,,,yes
2016-01,11420,12.0,,,yes
2016-01,11421,33.0,,,yes
2016-01,11422,16.0,,,yes
2016-01,11423,51.0,,,yes
2016-01,11426,4.0,,,yes
2016-01,11427,33.0,,,yes
2016-01,11428,14.0,,,yes
2016-01,11429,15.0,,,yes
2016-01,11432,161.0,,,yes
2016-01,11433,58.0,,,yes
2016-01,11434,140.0,,,yes
2016-01,11435,95.0,,,yes
2016-01,11436,7.0,,,yes
2016-01,11691,284.0,,,yes
2016-01,11692,90.0,,,yes
2016-01,11693,34.0,,,yes
2016-01,11694,20.0,,,yes
2016-02,10001,49.0,,,yes
2016-02,10002,203.0,,,yes
2016-02,10003,50.0,,,yes
2016-02,10004,2.0,,,yes
2016-02,10005,13.0,,,yes
2016-02,10006,4.0,,,yes
2016-02,10007,4.0,,,yes
2016-02,10009,164.0,,,yes
2016-02,10010,34.0,,,yes
2016-02,10011,67.0,,,yes
2016-02,10012,39.0,,,yes
2016-02,10013,23.0,,,yes
2016-02,10014,35.0,,,yes
2016-02,10016,69.0,,,yes
2016-02,10017,19.0,,,yes
2016-02,10018,9.0,,,yes
2016-02,10019,74.0,,,yes
2016-02,10021,39.0,,,yes
2016-02,10022,51.0,,,yes
2016-02,10023,77.0,,,yes
2016-02,10024,57.0,,,yes
2016-02,10025,181.0,,,yes
2016-02,10026,180.0,,,yes
2016-02,10027,290.0,,,yes
2016-02,10028,39.0,,,yes
2016-02,10029,401.0,,,yes
2016-02,10030,216.0,,,yes
2016-02,10031,262.0,,,yes
2016-02,10032,244.0,,,yes
2016-02,10033,282.0,,,yes
2016-02,10034,191.0,,,yes
2016-02,10035,212.0,,,yes
2016-02,10036,73.0,,,yes
2016-02,10037,67.0,,,yes
2016-02,10038,91.0,,,yes
2016-02,10039,272.0,,,yes
2016-02,10040,220.0,,,yes
2016-02,10044,27.0,,,yes
2016-02,10065,12.0,,,yes
2016-02,10069,10.0,,,yes
2016-02,10075,16.0,,,yes
2016-02,10128,64.0,,,yes
2016-02,10162,1.0,,,yes
2016-02,10280,9.0,,,yes
2016-02,10282,3.0,,,yes
2016-02,10301,71.0,,,yes
2016-02,10302,15.0,,,yes
2016-02,10303,60.0,,,yes
2016-02,10304,100.0,,,yes
2016-02,10305,42.0,,,yes
2016-02,10306,38.0,,,yes
2016-02,10307,3.0,,,yes
2016-02,10308,6.0,,,yes
2016-02,10309,8.0,,,yes
2016-02,10310,32.0,,,yes
2016-02,10311,20.0,,,yes
2016-02,10312,3.0,,,yes
2016-02,10314,33.0,,,yes
2016-02,10451,473.0,,,yes
2016-02,10452,601.0,,,yes
2016-02,10453,667.0,,,yes
2016-02,10454,315.0,,,yes
2016-02,10455,268.0,,,yes
2016-02,10456,677.0,,,yes
2016-02,10457,571.0,,,yes
2016-02,10458,555.0,,,yes
2016-02,10459,319.0,,,yes
2016-02,10460,476.0,,,yes
2016-02,10461,77.0,,,yes
2016-02,10462,320.0,,,yes
2016-02,10463,307.0,,,yes
2016-02,10464,4.0,,,yes
2016-02,10465,58.0,,,yes
2016-02,10466,238.0,,,yes
2016-02,10467,604.0,,,yes
2016-02,10468,530.0,,,yes
2016-02,10469,111.0,,,yes
2016-02,10470,35.0,,,yes
2016-02,10471,34.0,,,yes
2016-02,10472,314.0,,,yes
2016-02,10473,301.0,,,yes
2016-02,10474,135.0,,,yes
2016-02,10475,118.0,,,yes
2016-02,10567,1.0,,,yes
2016-02,11001,3.0,,,yes
2016-02,11004,2.0,,,yes
2016-02,11101,104.0,,,yes
2016-02,11102,50.0,,,yes
2016-02,11103,21.0,,,yes
2016-02,11104,49.0,,,yes
2016-02,11105,31.0,,,yes
2016-02,11106,59.0,,,yes
2016-02,11109,5.0,,,yes
2016-02,11111,45.0,,,no
2016-02,11201,84.0,,,yes
2016-02,11203,211.0,,,yes
2016-02,11204,50.0,,,yes
2016-02,11205,101.0,,,yes
2016-02,11206,287.0,,,yes
2016-02,11207,389.0,,,yes
2016-02,11208,342.0,,,yes
2016-02,11209,74.0,,,yes
2016-02,11210,148.0,,,yes
2016-02,11211,68.0,,,yes
2016-02,11212,602.0,,,yes
2016-02,11213,289.0,,,yes
2016-02,11214,64.0,,,yes
2016-02,11215,26.0,,,yes
2016-02,11216,193.0,,,yes
2016-02,11217,43.0,,,yes
2016-02,11218,60.0,,,yes
2016-02,11219,34.0,,,yes
2016-02,11220,50.0,,,yes
2016-02,11221,200.0,,,yes
2016-02,11222,11.0,,,yes
2016-02,11223,99.0,,,yes
2016-02,11224,167.0,,,yes
2016-02,11225,335.0,,,yes
2016-02,11226,496.0,,,yes
2016-02,11228,10.0,,,yes
2016-02,11229,65.0,,,yes
2016-02,11230,168.0,,,yes
2016-02,11231,228.0,,,yes
2016-02,11232,21.0,,,yes
2016-02,11233,306.0,,,yes
2016-02,11234,76.0,,,yes
2016-02,11235,95.0,,,yes
2016-02,11236,122.0,,,yes
2016-02,11237,51.0,,,yes
2016-02,11238,118.0,,,yes
2016-02,11239,196.0,,,yes
2016-02,11249,46.0,,,yes
2016-02,11354,79.0,,,yes
2016-02,11355,73.0,,,yes
2016-02,11356,6.0,,,yes
2016-02,11357,10.0,,,yes
2016-02,11358,13.0,,,yes
2016-02,11360,6.0,,,yes
2016-02,11361,6.0,,,yes
2016-02,11362,4.0,,,yes
2016-02,11363,1.0,,,yes
2016-02,11364,11.0,,,yes
2016-02,11365,48.0,,,yes
2016-02,11367,98.0,,,yes
2016-02,11368,227.0,,,yes
2016-02,11369,16.0,,,yes
2016-02,11370,11.0,,,yes
2016-02,11372,146.0,,,yes
2016-02,11373,138.0,,,yes
2016-02,11374,94.0,,,yes
2016-02,11375,51.0,,,yes
2016-02,11377,96.0,,,yes
2016-02,11378,11.0,,,yes
2016-02,11379,30.0,,,yes
2016-02,11385,73.0,,,yes
2016-02,11411,7.0,,,yes
2016-02,11412,31.0,,,yes
2016-02,11413,35.0,,,yes
2016-02,11414,17.0,,,yes
2016-02,11415,44.0,,,yes
2016-02,11416,18.0,,,yes
2016-02,11417,20.0,,,yes
2016-02,11418,31.0,,,yes
2016-02,11419,35.0,,,yes
2016-02,11420,33.0,,,yes
2016-02,11421,31.0,,,yes
2016-02,11422,22.0,,,yes
2016-02,11423,60.0,,,yes
2016-02,11424,1.0,,,yes
2016-02,11426,6.0,,,yes
2016-02,11427,45.0,,,yes
2016-02,11428,13.0,,,yes
2016-02,11429,8.0,,,yes
2016-02,11432,140.0,,,yes
2016-02,11433,65.0,,,yes
2016-02,11434,205.0,,,yes
2016-02,11435,109.0,,,yes
2016-02,11436,15.0,,,yes
2016-02,11518,1.0,,,yes
2016-02,11691,290.0,,,yes
2016-02,11692,109.0,,,yes
2016-02,11693,31.0,,,yes
2016-02,11694,43.0,,,yes
2016-02,12233,1.0,,,yes
2016-03,10001,55.0,,,yes
2016-03,10002,129.0,,,yes
2016-03,10003,64.0,,,yes
2016-03,10004,5.0,,,yes
2016-03,10005,21.0,,,yes
2016-03,10006,7.0,,,yes
2016-03,10007,3.0,,,yes
2016-03,10009,138.0,,,yes
2016-03,10010,25.0,,,yes
2016-03,10011,62.0,,,yes
2016-03,10012,32.0,,,yes
2016-03,10013,26.0,,,yes
2016-03,10014,46.0,,,yes
2016-03,10016,68.0,,,yes
2016-03,10017,12.0,,,yes
2016-03,10018,22.0,,,yes
2016-03,10019,68.0,,,yes
2016-03,10021,43.0,,,yes
2016-03,10022,20.0,,,yes
2016-03,10023,101.0,,,yes
2016-03,10024,76.0,,,yes
2016-03,10025,216.0,,,yes
2016-03,10026,124.0,,,yes
2016-03,10027,227.0,,,yes
2016-03,10028,43.0,,,yes
2016-03,10029,370.0,,,yes
2016-03,10030,194.0,,,yes
2016-03,10031,213.0,,,yes
2016-03,10032,209.0,,,yes
2016-03,10033,153.0,,,yes
2016-03,10034,168.0,,,yes
2016-03,10035,151.0,,,yes
2016-03,10036,74.0,,,yes
2016-03,10037,170.0,,,yes
2016-03,10038,26.0,,,yes
2016-03,10039,187.0,,,yes
2016-03,10040,178.0,,,yes
2016-03,10044,22.0,,,yes
2016-03,10065,37.0,,,yes
2016-03,10069,12.0,,,yes
2016-03,10075,16.0,,,yes
2016-03,10128,64.0,,,yes
2016-03,10162,3.0,,,yes
2016-03,10280,32.0,,,yes
2016-03,10282,4.0,,,yes
2016-03,10301,63.0,,,yes
2016-03,10302,20.0,,,yes
2016-03,10303,71.0,,,yes
2016-03,10304,138.0,,,yes
2016-03,10305,15.0,,,yes
2016-03,10306,45.0,,,yes
2016-03,10307,2.0,,,yes
2016-03,10308,8.0,,,yes
2016-03,10309,7.0,,,yes
2016-03,10310,32.0,,,yes
2016-03,10312,8.0,,,yes
2016-03,10314,19.0,,,yes
2016-03,10445,2.0,,,no
2016-03,10451,390.0,,,yes
2016-03,10452,545.0,,,yes
2016-03,10453,602.0,,,yes
2016-03,10454,163.0,,,yes
2016-03,10455,276.0,,,yes
2016-03,10456,597.0,,,yes
2016-03,10457,474.0,,,yes
2016-03,10458,477.0,,,yes
2016-03,10459,303.0,,,yes
2016-03,10460,399.0,,,yes
2016-03,10461,78.0,,,yes
2016-03,10462,285.0,,,yes
2016-03,10463,271.0,,,yes
2016-03,10464,1.0,,,yes
2016-03,10465,95.0,,,yes
2016-03,10466,245.0,,,yes
2016-03,10467,541.0,,,yes
2016-03,10468,473.0,,,yes
2016-03,10469,112.0,,,yes
2016-03,10470,29.0,,,yes
2016-03,10471,22.0,,,yes
2016-03,10472,345.0,,,yes
2016-03,10473,310.0,,,yes
2016-03,10474,88.0,,,yes
2016-03,10475,68.0,,,yes
2016-03,11001,3.0,,,yes
2016-03,11004,2.0,,,yes
2016-03,11034,1.0,,,no
2016-03,11101,85.0,,,yes
2016-03,11102,58.0,,,yes
2016-03,11103,24.0,,,yes
2016-03,11104,63.0,,,yes
2016-03,11105,31.0,,,yes
2016-03,11106,94.0,,,yes
2016-03,11109,13.0,,,yes
2016-03,11111,1.0,,,no
2016-03,11201,115.0,,,yes
2016-03,11203,147.0,,,yes
2016-03,11204,37.0,,,yes
2016-03,11205,197.0,,,yes
2016-03,11206,228.0,,,yes
2016-03,11207,357.0,,,yes
2016-03,11208,203.0,,,yes
2016-03,11209,70.0,,,yes
2016-03,11210,92.0,,,yes
2016-03,11211,76.0,,,yes
2016-03,11212,441.0,,,yes
2016-03,11213,280.0,,,yes
2016-03,11214,81.0,,,yes
2016-03,11215,23.0,,,yes
2016-03,11216,148.0,,,yes
2016-03,11217,68.0,,,yes
2016-03,11218,65.0,,,yes
2016-03,11219,43.0,,,yes
2016-03,11220,45.0,,,yes
2016-03,11221,267.0,,,yes
2016-03,11222,21.0,,,yes
2016-03,11223,98.0,,,yes
2016-03,11224,148.0,,,yes
2016-03,11225,231.0,,,yes
2016-03,11226,412.0,,,yes
2016-03,11228,17.0,,,yes
2016-03,11229,106.0,,,yes
2016-03,11230,136.0,,,yes
2016-03,11231,107.0,,,yes
2016-03,11232,16.0,,,yes
2016-03,11233,284.0,,,yes
2016-03,11234,101.0,,,yes
2016-03,11235,102.0,,,yes
2016-03,11236,154.0,,,yes
2016-03,11237,58.0,,,yes
2016-03,11238,123.0,,,yes
2016-03,11239,150.0,,,yes
2016-03,11249,40.0,,,yes
2016-03,11354,90.0,,,yes
2016-03,11355,85.0,,,yes
2016-03,11356,10.0,,,yes
2016-03,11357,14.0,,,yes
2016-03,11358,26.0,,,yes
2016-03,11360,15.0,,,yes
2016-03,11361,9.0,,,yes
2016-03,11362,3.0,,,yes
2016-03,11363,2.0,,,yes
2016-03,11364,19.0,,,yes
2016-03,11365,123.0,,,yes
2016-03,11366,3.0,,,yes
2016-03,11367,50.0,,,yes
2016-03,11368,134.0,,,yes
2016-03,11369,14.0,,,yes
2016-03,11370,13.0,,,yes
2016-03,11372,136.0,,,yes
2016-03,11373,137.0,,,yes
2016-03,11374,55.0,,,yes
2016-03,11375,87.0,,,yes
2016-03,11377,72.0,,,yes
2016-03,11378,8.0,,,yes
2016-03,11379,21.0,,,yes
2016-03,11385,72.0,,,yes
2016-03,11411,6.0,,,yes
2016-03,11412,32.0,,,yes
2016-03,11413,29.0,,,yes
2016-03,11414,10.0,,,yes
2016-03,11415,43.0,,,yes
2016-03,11416,7.0,,,yes
2016-03,11417,18.0,,,yes
2016-03,11418,37.0,,,yes
2016-03,11419,19.0,,,yes
2016-03,11420,21.0,,,yes
2016-03,11421,28.0,,,yes
2016-03,11422,27.0,,,yes
2016-03,11423,88.0,,,yes
2016-03,11426,6.0,,,yes
2016-03,11427,41.0,,,yes
2016-03,11428,15.0,,,yes
2016-03,11429,12.0,,,yes
2016-03,11432,146.0,,,yes
2016-03,11433,53.0,,,yes
2016-03,11434,209.0,,,yes
2016-03,11435,103.0,,,yes
2016-03,11436,25.0,,,yes
2016-03,11691,194.0,,,yes
2016-03,11692,68.0,,,yes
2016-03,11693,22.0,,,yes
2016-03,11694,25.0,,,yes
2016-04,10001,55.0,,,yes
2016-04,10002,155.0,,,yes
2016-04,10003,41.0,,,yes
2016-04,10004,4.0,,,yes
2016-04,10005,9.0,,,yes
2016-04,10006,6.0,,,yes
2016-04,10007,2.0,,,yes
2016-04,10009,118.0,,,yes
2016-04,10010,24.0,,,yes
2016-04,10011,53.0,,,yes
2016-04,10012,20.0,,,yes
2016-04,10013,22.0,,,yes
2016-04,10014,43.0,,,yes
2016-04,10016,56.0,,,yes
2016-04,10017,14.0,,,yes
2016-04,10018,17.0,,,yes
2016-04,10019,61.0,,,yes
2016-04,10021,26.0,,,yes
2016-04,10022,19.0,,,yes
2016-04,10023,75.0,,,yes
2016-04,10024,62.0,,,yes
2016-04,10025,170.0,,,yes
2016-04,10026,98.0,,,yes
2016-04,10027,229.0,,,yes
2016-04,10028,44.0,,,yes
2016-04,10029,231.0,,,yes
2016-04,10030,208.0,,,yes
2016-04,10031,222.0,,,yes
2016-04,10032,222.0,,,yes
2016-04,10033,141.0,,,yes
2016-04,10034,130.0,,,yes
2016-04,10035,129.0,,,yes
2016-04,10036,74.0,,,yes
2016-04,10037,159.0,,,yes
2016-04,10038,44.0,,,yes
2016-04,10039,142.0,,,yes
2016-04,10040,130.0,,,yes
2016-04,10044,17.0,,,yes
2016-04,10065,26.0,,,yes
2016-04,10075,16.0,,,yes
2016-04,10122,1.0,,,yes
2016-04,10128,59.0,,,yes
2016-04,10162,1.0,,,yes
2016-04,10280,8.0,,,yes
2016-04,10282,3.0,,,yes
2016-04,10301,64.0,,,yes
2016-04,10302,20.0,,,yes
2016-04,10303,46.0,,,yes
2016-04,10304,97.0,,,yes
2016-04,10305,32.0,,,yes
2016-04,10306,29.0,,,yes
2016-04,10307,3.0,,,yes
2016-04,10308,7.0,,,yes
2016-04,10309,2.0,,,yes
2016-04,10310,26.0,,,yes
2016-04,10312,11.0,,,yes
2016-04,10314,29.0,,,yes
2016-04,10451,315.0,,,yes
2016-04,10452,387.0,,,yes
2016-04,10453,504.0,,,yes
2016-04,10454,238.0,,,yes
2016-04,10455,181.0,,,yes
2016-04,10456,470.0,,,yes
2016-04,10457,432.0,,,yes
2016-04,10458,351.0,,,yes
2016-04,10459,266.0,,,yes
2016-04,10460,341.0,,,yes
2016-04,10461,70.0,,,yes
2016-04,10462,257.0,,,yes
2016-04,10463,209.0,,,yes
2016-04,10464,10.0,,,yes
2016-04,10465,40.0,,,yes
2016-04,10466,199.0,,,yes
2016-04,10467,370.0,,,yes
2016-04,10468,319.0,,,yes
2016-04,10469,104.0,,,yes
2016-04,10470,26.0,,,yes
2016-04,10471,25.0,,,yes
2016-04,10472,202.0,,,yes
2016-04,10473,233.0,,,yes
2016-04,10474,53.0,,,yes
2016-04,10475,59.0,,,yes
2016-04,10642,1.0,,,no
2016-04,11001,2.0,,,yes
2016-04,11004,2.0,,,yes
2016-04,11005,2.0,,,yes
2016-04,11101,84.0,,,yes
2016-04,11102,37.0,,,yes
2016-04,11103,15.0,,,yes
2016-04,11104,37.0,,,yes
2016-04,11105,30.0,,,yes
2016-04,11106,69.0,,,yes
2016-04,11109,7.0,,,yes
2016-04,11201,75.0,,,yes
2016-04,11203,143.0,,,yes
2016-04,11204,41.0,,,yes
2016-04,11205,122.0,,,yes
2016-04,11206,211.0,,,yes
2016-04,11207,296.0,,,yes
2016-04,11208,246.0,,,yes
2016-04,11209,46.0,,,yes
2016-04,11210,162.0,,,yes
2016-04,11211,74.0,,,yes
2016-04,11212,386.0,,,yes
2016-04,11213,248.0,,,yes
2016-04,11214,57.0,,,yes
2016-04,11215,30.0,,,yes
2016-04,11216,133.0,,,yes
2016-04,11217,38.0,,,yes
2016-04,11218,76.0,,,yes
2016-04,11219,36.0,,,yes
2016-04,11220,49.0,,,yes
2016-04,11221,236.0,,,yes
2016-04,11222,12.0,,,yes
2016-04,11223,119.0,,,yes
2016-04,11224,122.0,,,yes
2016-04,11225,224.0,,,yes
2016-04,11226,363.0,,,yes
2016-04,11228,8.0,,,yes
2016-04,11229,47.0,,,yes
2016-04,11230,106.0,,,yes
2016-04,11231,83.0,,,yes
2016-04,11232,14.0,,,yes
2016-04,11233,251.0,,,yes
2016-04,11234,53.0,,,yes
2016-04,11235,115.0,,,yes
2016-04,11236,173.0,,,yes
2016-04,11237,46.0,,,yes
2016-04,11238,101.0,,,yes
2016-04,11239,109.0,,,yes
2016-04,11247,1.0,,,yes
2016-04,11249,20.0,,,yes
2016-04,11271,1.0,,,no
2016-04,11354,44.0,,,yes
2016-04,11355,76.0,,,yes
2016-04,11356,11.0,,,yes
2016-04,11357,10.0,,,yes
2016-04,11358,17.0,,,yes
2016-04,11360,9.0,,,yes
2016-04,11361,12.0,,,yes
2016-04,11362,3.0,,,yes
2016-04,11363,2.0,,,yes
2016-04,11364,3.0,,,yes
2016-04,11365,69.0,,,yes
2016-04,11366,3.0,,,yes
2016-04,11367,106.0,,,yes
2016-04,11368,181.0,,,yes
2016-04,11369,23.0,,,yes
2016-04,11370,12.0,,,yes
2016-04,11372,113.0,,,yes
2016-04,11373,110.0,,,yes
2016-04,11374,58.0,,,yes
2016-04,11375,69.0,,,yes
2016-04,11377,71.0,,,yes
2016-04,11378,13.0,,,yes
2016-04,11379,15.0,,,yes
2016-04,11385,46.0,,,yes
2016-04,11411,11.0,,,yes
2016-04,11412,26.0,,,yes
2016-04,11413,23.0,,,yes
2016-04,11414,5.0,,,yes
2016-04,11415,28.0,,,yes
2016-04,11416,15.0,,,yes
2016-04,11417,10.0,,,yes
2016-04,11418,31.0,,,yes
2016-04,11419,27.0,,,yes
2016-04,11420,23.0,,,yes
2016-04,11421,15.0,,,yes
2016-04,11422,19.0,,,yes
2016-04,11423,30.0,,,yes
2016-04,11426,5.0,,,yes
2016-04,11427,29.0,,,yes
2016-04,11428,11.0,,,yes
2016-04,11429,22.0,,,yes
2016-04,11432,115.0,,,yes
2016-04,11433,53.0,,,yes
2016-04,11434,181.0,,,yes
2016-04,11435,81.0,,,yes
2016-04,11436,7.0,,,yes
2016-04,11691,216.0,,,yes
2016-04,11692,84.0,,,yes
2016-04,11693,24.0,,,yes
2016-04,11694,23.0,,,yes
2016-04,12372,1.0,,,no
2016-04,43272,1.0,,,no
2016-05,10001,25.0,,,yes
2016-05,10002,188.0,,,yes
2016-05,10003,54.0,,,yes
2016-05,10004,4.0,,,yes
2016-05,10005,7.0,,,yes
2016-05,10006,1.0,,,yes
2016-05,10007,1.0,,,yes
2016-05,10009,135.0,,,yes
2016-05,10010,20.0,,,yes
2016-05,10011,72.0,,,yes
2016-05,10012,13.0,,,yes
2016-05,10013,16.0,,,yes
2016-05,10014,31.0,,,yes
2016-05,10016,46.0,,,yes
2016-05,10017,13.0,,,yes
2016-05,10018,5.0,,,yes
2016-05,10019,70.0,,,yes
2016-05,10021,34.0,,,yes
2016-05,10022,33.0,,,yes
2016-05,10023,57.0,,,yes
2016-05,10024,35.0,,,yes
2016-05,10025,188.0,,,yes
2016-05,10026,176.0,,,yes
2016-05,10027,227.0,,,yes
2016-05,10028,45.0,,,yes
2016-05,10029,249.0,,,yes
2016-05,10030,196.0,,,yes
2016-05,10031,223.0,,,yes
2016-05,10032,200.0,,,yes
2016-05,10033,156.0,,,yes
2016-05,10034,118.0,,,yes
2016-05,10035,129.0,,,yes
2016-05,10036,54.0,,,yes
2016-05,10037,148.0,,,yes
2016-05,10038,46.0,,,yes
2016-05,10039,174.0,,,yes
2016-05,10040,132.0,,,yes
2016-05,10044,16.0,,,yes
2016-05,10065,26.0,,,yes
2016-05,10069,9.0,,,yes
2016-05,10075,19.0,,,yes
2016-05,10128,74.0,,,yes
2016-05,10162,1.0,,,yes
2016-05,10282,1.0,,,yes
2016-05,10301,51.0,,,yes
2016-05,10302,15.0,,,yes
2016-05,10303,31.0,,,yes
2016-05,10304,89.0,,,yes
2016-05,10305,20.0,,,yes
2016-05,10306,33.0,,,yes
2016-05,10307,5.0,,,yes
2016-05,10308,4.0,,,yes
2016-05,10309,4.0,,,yes
2016-05,10310,16.0,,,yes
2016-05,10312,7.0,,,yes
2016-05,10314,35.0,,,yes
2016-05,10451,341.0,,,yes
2016-05,10452,505.0,,,yes
2016-05,10453,573.0,,,yes
2016-05,10454,154.0,,,yes
2016-05,10455,211.0,,,yes
2016-05,10456,546.0,,,yes
2016-05,10457,437.0,,,yes
2016-05,10458,472.0,,,yes
2016-05,10459,228.0,,,yes
2016-05,10460,324.0,,,yes
2016-05,10461,101.0,,,yes
2016-05,10462,259.0,,,yes
2016-05,10463,156.0,,,yes
2016-05,10464,3.0,,,yes
2016-05,10465,56.0,,,yes
2016-05,10466,215.0,,,yes
2016-05,10467,431.0,,,yes
2016-05,10468,484.0,,,yes
2016-05,10469,124.0,,,yes
2016-05,10470,39.0,,,yes
2016-05,10471,23.0,,,yes
2016-05,10472,285.0,,,yes
2016-05,10473,225.0,,,yes
2016-05,10474,69.0,,,yes
2016-05,10475,73.0,,,yes
2016-05,11001,1.0,,,yes
2016-05,11004,12.0,,,yes
2016-05,11034,1.0,,,no
2016-05,11065,1.0,,,no
2016-05,11101,80.0,,,yes
2016-05,11102,46.0,,,yes
